id_subsls,kd_prov,kd_kab,kd_kec,kd_desa,kd_sls,nama_prov,nama_kab,nama_kec,nama_desa,nama_sls,kd_pos
7103092003000100,71,03,092,003,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA BARAT,MITUNG,RT 01 LINGKUNGAN I,95817
7103060008000100,71,03,060,008,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,MALAMENGGU,LINDONGAN 1,95858
7103060008000200,71,03,060,008,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,MALAMENGGU,LINDONGAN 2,95858
7103091005001100,71,03,091,005,0011,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 11 LINGKUNGAN 4,95816
7103050003000300,71,03,050,003,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,BEBU,LINDONGAN 03,95855
7103060018000200,71,03,060,018,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,LAOTONGAN,LINDONGAN 2,95858
7103070001000400,71,03,070,001,0004,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN TENGAH,BOWONGKALI,LINDONGAN 04,95857
7103091005000600,71,03,091,005,0006,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 06 LINGKUNGAN 2,95816
7103102001000100,71,03,102,001,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,KEPULAUAN MARORE,KAWIO,LINDONGAN 1,95841
7103110002000200,71,03,110,002,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,KENDAHE,KENDAHE SATU,LINDONGAN 02,95852
7103041005000100,71,03,041,005,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TATOARENG,DALAKO BEMBANAHE,LINDONGAN 1,95851
7103060016000100,71,03,060,016,0001,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN SELATAN,SIMUENG,LINDONGAN 1,95858
7103100006000300,71,03,100,006,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,TABUKAN UTARA,BENGKETANG,LINDONGAN 03,95856
7103080011000300,71,03,080,011,0003,SULAWESI UTARA,KEPULAUAN SANGIHE,MANGANITU,BARANGKA,LINDONGAN 03,95853
7103050003000200,71,03,050,003,0002,SULAWESI UTARA,KEPULAUAN SANGIHE,TAMAKO,BEBU,LINDONGAN 02,95855
7103090008000700,71,03,090,008,0007,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA,APENG SEMBEKA,RT 07 LINGKUNGAN 3,95811
7103091005001000,71,03,091,005,0010,SULAWESI UTARA,KEPULAUAN SANGIHE,TAHUNA TIMUR,DUMUHUNG,RT 10 LINGKUNGAN 4,95816
